row_id,TEXT,input_ids,PREDICTED_LABEL
0,good to know if you can t find these elsewhere .,"tensor([   1, 8396,    7,  216,  114,   47,   64,  326,  465,  209, 5140,  479,
           2])",1
1,"love it !  the grill plates come out and pop in the dishwasher ,  which is fantastic .","tensor([    1, 17693,    24, 27785,  1437,     5, 20212, 12957,   283,    66,
            8,  3495,    11,     5,  8847, 34475,  2156,  1437,    61,    16,
         5500,   479,     2])",1
2,i m convinced this was a poorly executed refurbished unit as small repairs could be seen in many pieces .,"tensor([    1,   118,   475,  7013,    42,    21,    10, 12101,  9390, 17880,
         6555,  1933,    25,   650,  9534,   115,    28,   450,    11,   171,
         3745,   479,     2])",0
3,"i would never have complained about that if it would just keep working ,  for gosh sakes .","tensor([   1,  118,   74,  393,   33, 7311,   59,   14,  114,   24,   74,   95,
         489,  447, 2156, 1437,   13,  821, 5212,  579, 5556,  479,    2])",0
4,"the photo shows the same whole ,  large candies we ve always gotten .","tensor([    1,   627,  1345,   924,     5,   276,  1086,  2156,  1437,   739,
        23505,   918,    52,  5030,   460,  5335,   479,     2])",1
5,he finds it to be extremely boring and will play with the  more advanced  musical toys instead .,"tensor([    1,   700,  5684,    24,     7,    28,  2778, 15305,     8,    40,
          310,    19,     5,  1437,    55,  3319,  1437,  4388,  9492,  1386,
          479,     2])",0
6,"rusho ,  i followed your mounting procedures and they work great !  !  !  .","tensor([    1, 29349,   139,  2156,  1437,   939,  1432,   110, 12033,  6196,
            8,    51,   173,   372, 27785,  1437, 27785,  1437, 27785,  1437,
          479,     2])",1
7,the air bubble will go down the side and the bottle will not break .,"tensor([    1,   627,   935, 12172,    40,   213,   159,     5,   526,     8,
            5,  7304,    40,    45,  1108,   479,     2])",0
8,i was searching for good moisturizing serum with anti aging effect .,"tensor([    1,   118,    21,  6062,    13,   205, 29030,  2787, 38994,    19,
         1475, 10662,  1683,   479,     2])",1
9,i take care of my things and this was a waste .,"tensor([   1,  118,  185,  575,    9,  127,  383,    8,   42,   21,   10, 3844,
         479,    2])",0
10,has a taste and consistency that just didn t work for our family .,"tensor([    1,  7333,    10,  5840,     8, 12787,    14,    95,   399,   326,
          173,    13,    84,   284,   479,     2])",0
11,what is frass ?  to put it delicately .  .  . bug poop .,"tensor([    1, 12196,    16,  6664,  2401, 17487,  1437,     7,   342,    24,
        24234,  7223,   479,  1437,   479,  1437,   479, 13673, 36733,   479,
            2])",0
12,i consider this product to be a conditioner .,"tensor([   1,  118, 1701,   42, 1152,    7,   28,   10, 1881,  254,  479,    2])",0
13,"if it doesn t fit inside the rim ,  the seat will not sit level or securely .","tensor([    1,  1594,    24,   630,   326,  2564,  1025,     5, 17239,  2156,
         1437,     5,  2418,    40,    45,  2662,   672,    50, 31328,   479,
            2])",0
14,"the front comes covered with a sheet of plastic ,  as does the back of the lcd .","tensor([    1,   627,   760,   606,  2913,    19,    10,  5462,     9,  4136,
         2156,  1437,    25,   473,     5,   124,     9,     5,   784, 28690,
          479,     2])",1
15,i don t know if that helps justify a purchase but it seems unusual for a cell to have . included num_extend,"tensor([    1,   118,   218,   326,   216,   114,    14,  2607, 11071,    10,
         2229,    53,    24,  1302,  5425,    13,    10,  3551,     7,    33,
          479,  1165, 15009,  1215, 16435,  1397,     2])",0
16,"the smell wasn t of coffee ,  it was of some air freshener you d find in a gas station checkout .","tensor([    1,   627, 11362,   938,   326,     9,  3895,  2156,  1437,    24,
           21,     9,   103,   935, 21862,  2457,   254,    47,   385,   465,
           11,    10,  1123,  1992, 28429,   479,     2])",0
17,it amazes me how self destructive people are .,"tensor([    1,   405,   524, 24505,   162,   141,  1403, 15877,    82,    32,
          479,     2])",1
18,but i d rather pay $ for a new case instead of $ for a new phone .,"tensor([   1, 4297,  939,  385, 1195,  582,   68,   13,   10,   92,  403, 1386,
           9,   68,   13,   10,   92, 1028,  479,    2])",0
19,it is ideal for small chopping jobs such as chopping garlic and ginger or small amounts of parsley .,"tensor([    1,   405,    16,  5631,    13,   650, 33892,  1315,   215,    25,
        33892, 15783,     8, 19863,    50,   650,  5353,     9, 28564,   607,
          479,     2])",1
20,"the smell was overpoweringly gingery ,  and i hoped it didn t taste like it smelled .","tensor([    1,   627, 11362,    21, 37833,  7790,   821,   154,  4270,  2156,
         1437,     8,   939,  5207,    24,   399,   326,  5840,   101,    24,
        32651,   479,     2])",0
21,this pan has been the workhorse in the kitchen for the last num_num years .,"tensor([    1,  9226,  5730,    34,    57,     5,   173, 19471,    11,     5,
         4647,    13,     5,    94, 15009,  1215, 42666,   107,   479,     2])",1
22,"the digital controls let you set the humidity level you want ,  and the fan speed .","tensor([    1,   627,  1778,  5656,   905,    47,   278,     5, 19849,   672,
           47,   236,  2156,  1437,     8,     5,  2378,  2078,   479,     2])",1
23,"too small ,  and appearance was not what i hoped for either .","tensor([    1, 15605,   650,  2156,  1437,     8,  2772,    21,    45,    99,
          939,  5207,    13,  1169,   479,     2])",0
24,the removable top from which the popcorn emerges becomes very hot when in use .,"tensor([    1,   627, 37680,   299,    31,    61,     5, 26639, 23694,  3374,
          182,  2131,    77,    11,   304,   479,     2])",1
25,"her cookies ,  which have always been great ,  are even better now with this sheet .","tensor([    1,  1843, 15269,  2156,  1437,    61,    33,   460,    57,   372,
         2156,  1437,    32,   190,   357,   122,    19,    42,  5462,   479,
            2])",1
26,"the user guide has more information on how to use gestures ,  unique to this platform ,  than other aps .","tensor([    1,   627,  3018,  4704,    34,    55,   335,    15,   141,     7,
          304, 18693,  2156,  1437,  2216,     7,    42,  1761,  2156,  1437,
           87,    97,    10,  3275,   479,     2])",1
27,the conditioner is a little sticky but it leaves the hair a mess .,"tensor([    1,   627,  1881,   254,    16,    10,   410, 25247,    53,    24,
         3607,     5,  2549,    10,  7319,   479,     2])",0
28,"it was difficult ,  challenging ,  and you had to really play it to beat it .","tensor([   1,  405,   21, 1202, 2156, 1437, 4087, 2156, 1437,    8,   47,   56,
           7,  269,  310,   24,    7, 1451,   24,  479,    2])",1
29,i only gave it four stars because num_extend,"tensor([    1,   118,   129,   851,    24,   237,  2690,   142, 15009,  1215,
        16435,  1397,     2])",0
