row_id,TEXT,input_ids,PREDICTED_LABEL
0,good to know if you can t find these elsewhere .,"tensor([ 101, 2204, 2000, 2113, 2065, 2017, 2064, 1056, 2424, 2122, 6974, 1012,
         102])",0
1,"love it !  the grill plates come out and pop in the dishwasher ,  which is fantastic .","tensor([  101,  2293,  2009,   999,  1996, 18651,  7766,  2272,  2041,  1998,
         3769,  1999,  1996,  9841, 28556,  2121,  1010,  2029,  2003, 10392,
         1012,   102])",1
2,i m convinced this was a poorly executed refurbished unit as small repairs could be seen in many pieces .,"tensor([  101,  1045,  1049,  6427,  2023,  2001,  1037,  9996,  6472, 18662,
         3131,  2004,  2235, 10315,  2071,  2022,  2464,  1999,  2116,  4109,
         1012,   102])",0
3,"i would never have complained about that if it would just keep working ,  for gosh sakes .","tensor([  101,  1045,  2052,  2196,  2031, 10865,  2055,  2008,  2065,  2009,
         2052,  2074,  2562,  2551,  1010,  2005,  2175,  4095,  8739,  2015,
         1012,   102])",0
4,"the photo shows the same whole ,  large candies we ve always gotten .","tensor([  101,  1996,  6302,  3065,  1996,  2168,  2878,  1010,  2312, 27467,
         2229,  2057,  2310,  2467,  5407,  1012,   102])",0
5,he finds it to be extremely boring and will play with the  more advanced  musical toys instead .,"tensor([  101,  2002,  4858,  2009,  2000,  2022,  5186, 11771,  1998,  2097,
         2377,  2007,  1996,  2062,  3935,  3315, 10899,  2612,  1012,   102])",0
6,"rusho ,  i followed your mounting procedures and they work great !  !  !  .","tensor([  101,  5481,  2080,  1010,  1045,  2628,  2115, 15986,  8853,  1998,
         2027,  2147,  2307,   999,   999,   999,  1012,   102])",1
7,the air bubble will go down the side and the bottle will not break .,"tensor([  101,  1996,  2250, 11957,  2097,  2175,  2091,  1996,  2217,  1998,
         1996,  5835,  2097,  2025,  3338,  1012,   102])",1
8,i was searching for good moisturizing serum with anti aging effect .,"tensor([  101,  1045,  2001,  6575,  2005,  2204, 11052,  9496,  6774, 20194,
         2007,  3424, 12520,  3466,  1012,   102])",0
9,i take care of my things and this was a waste .,"tensor([ 101, 1045, 2202, 2729, 1997, 2026, 2477, 1998, 2023, 2001, 1037, 5949,
        1012,  102])",0
10,has a taste and consistency that just didn t work for our family .,"tensor([  101,  2038,  1037,  5510,  1998, 18700,  2008,  2074,  2134,  1056,
         2147,  2005,  2256,  2155,  1012,   102])",0
11,what is frass ?  to put it delicately .  .  . bug poop .,"tensor([  101,  2054,  2003, 25312,  4757,  1029,  2000,  2404,  2009, 28814,
         1012,  1012,  1012, 11829, 13433,  7361,  1012,   102])",0
12,i consider this product to be a conditioner .,"tensor([ 101, 1045, 5136, 2023, 4031, 2000, 2022, 1037, 4650, 2121, 1012,  102])",1
13,"if it doesn t fit inside the rim ,  the seat will not sit level or securely .","tensor([  101,  2065,  2009,  2987,  1056,  4906,  2503,  1996, 11418,  1010,
         1996,  2835,  2097,  2025,  4133,  2504,  2030, 28999,  1012,   102])",0
14,"the front comes covered with a sheet of plastic ,  as does the back of the lcd .","tensor([  101,  1996,  2392,  3310,  3139,  2007,  1037,  7123,  1997,  6081,
         1010,  2004,  2515,  1996,  2067,  1997,  1996, 27662,  1012,   102])",0
15,i don t know if that helps justify a purchase but it seems unusual for a cell to have . included num_extend,"tensor([  101,  1045,  2123,  1056,  2113,  2065,  2008,  7126, 16114,  1037,
         5309,  2021,  2009,  3849,  5866,  2005,  1037,  3526,  2000,  2031,
         1012,  2443, 16371,  2213,  1035,  7949,   102])",0
16,"the smell wasn t of coffee ,  it was of some air freshener you d find in a gas station checkout .","tensor([  101,  1996,  5437,  2347,  1056,  1997,  4157,  1010,  2009,  2001,
         1997,  2070,  2250,  4840, 24454,  2017,  1040,  2424,  1999,  1037,
         3806,  2276,  4638,  5833,  1012,   102])",0
17,it amazes me how self destructive people are .,"tensor([  101,  2009, 25933, 11254,  2033,  2129,  2969, 15615,  2111,  2024,
         1012,   102])",1
18,but i d rather pay $ for a new case instead of $ for a new phone .,"tensor([ 101, 2021, 1045, 1040, 2738, 3477, 1002, 2005, 1037, 2047, 2553, 2612,
        1997, 1002, 2005, 1037, 2047, 3042, 1012,  102])",0
19,it is ideal for small chopping jobs such as chopping garlic and ginger or small amounts of parsley .,"tensor([  101,  2009,  2003,  7812,  2005,  2235, 24494,  4691,  5841,  2107,
         2004, 24494,  4691, 20548,  1998, 14580,  2030,  2235,  8310,  1997,
        11968,  8002,  1012,   102])",1
20,"the smell was overpoweringly gingery ,  and i hoped it didn t taste like it smelled .","tensor([  101,  1996,  5437,  2001,  2058, 23948,  2135, 14580,  2100,  1010,
         1998,  1045,  5113,  2009,  2134,  1056,  5510,  2066,  2009,  9557,
         1012,   102])",0
21,this pan has been the workhorse in the kitchen for the last num_num years .,"tensor([  101,  2023,  6090,  2038,  2042,  1996,  2147, 23024,  1999,  1996,
         3829,  2005,  1996,  2197, 16371,  2213,  1035, 16371,  2213,  2086,
         1012,   102])",1
22,"the digital controls let you set the humidity level you want ,  and the fan speed .","tensor([  101,  1996,  3617,  7711,  2292,  2017,  2275,  1996, 18213,  2504,
         2017,  2215,  1010,  1998,  1996,  5470,  3177,  1012,   102])",1
23,"too small ,  and appearance was not what i hoped for either .","tensor([ 101, 2205, 2235, 1010, 1998, 3311, 2001, 2025, 2054, 1045, 5113, 2005,
        2593, 1012,  102])",0
24,the removable top from which the popcorn emerges becomes very hot when in use .,"tensor([  101,  1996,  2128, 25661,  2327,  2013,  2029,  1996, 24593, 19391,
         4150,  2200,  2980,  2043,  1999,  2224,  1012,   102])",1
25,"her cookies ,  which have always been great ,  are even better now with this sheet .","tensor([  101,  2014, 16324,  1010,  2029,  2031,  2467,  2042,  2307,  1010,
         2024,  2130,  2488,  2085,  2007,  2023,  7123,  1012,   102])",1
26,"the user guide has more information on how to use gestures ,  unique to this platform ,  than other aps .","tensor([  101,  1996,  5310,  5009,  2038,  2062,  2592,  2006,  2129,  2000,
         2224, 18327,  1010,  4310,  2000,  2023,  4132,  1010,  2084,  2060,
         9706,  2015,  1012,   102])",1
27,the conditioner is a little sticky but it leaves the hair a mess .,"tensor([  101,  1996,  4650,  2121,  2003,  1037,  2210, 15875,  2021,  2009,
         3727,  1996,  2606,  1037,  6752,  1012,   102])",0
28,"it was difficult ,  challenging ,  and you had to really play it to beat it .","tensor([  101,  2009,  2001,  3697,  1010, 10368,  1010,  1998,  2017,  2018,
         2000,  2428,  2377,  2009,  2000,  3786,  2009,  1012,   102])",0
29,i only gave it four stars because num_extend,"tensor([  101,  1045,  2069,  2435,  2009,  2176,  3340,  2138, 16371,  2213,
         1035,  7949,   102])",0
30,"but there are other fiestaware bowl options with more graceful lines . colors are ,  as expected with fiestaware ,  outstanding .","tensor([  101,  2021,  2045,  2024,  2060, 24050,  8059,  4605,  7047,  2007,
         2062, 19415,  3210,  1012,  6087,  2024,  1010,  2004,  3517,  2007,
        24050,  8059,  1010,  5151,  1012,   102])",1
31,clean up is a breeze and the rice comes out fluffy and better .,"tensor([  101,  4550,  2039,  2003,  1037,  9478,  1998,  1996,  5785,  3310,
         2041, 27036,  1998,  2488,  1012,   102])",1
32,been using this protector for a few weeks .,"tensor([  101,  2042,  2478,  2023, 16167,  2005,  1037,  2261,  3134,  1012,
          102])",0
33,it is round and so many are square .,"tensor([ 101, 2009, 2003, 2461, 1998, 2061, 2116, 2024, 2675, 1012,  102])",0
34,the only thing i dont like about it is it doesnt come with a lid .,"tensor([  101,  1996,  2069,  2518,  1045,  2123,  2102,  2066,  2055,  2009,
         2003,  2009,  2987,  2102,  2272,  2007,  1037, 11876,  1012,   102])",0
35,"they are interesting in theory and idea ,  but in practice they re a bit disappointing .","tensor([  101,  2027,  2024,  5875,  1999,  3399,  1998,  2801,  1010,  2021,
         1999,  3218,  2027,  2128,  1037,  2978, 15640,  1012,   102])",0
36,the colors are nice but after a year of use they started to wear away .,"tensor([ 101, 1996, 6087, 2024, 3835, 2021, 2044, 1037, 2095, 1997, 2224, 2027,
        2318, 2000, 4929, 2185, 1012,  102])",0
37,always seems to work fine and no issues as of yet .,"tensor([ 101, 2467, 3849, 2000, 2147, 2986, 1998, 2053, 3314, 2004, 1997, 2664,
        1012,  102])",1
38,anything you try to cook in it will scorch unless you watch it like a hawk .,"tensor([ 101, 2505, 2017, 3046, 2000, 5660, 1999, 2009, 2097, 8040, 2953, 2818,
        4983, 2017, 3422, 2009, 2066, 1037, 9881, 1012,  102])",0
39,"there are no handles on the egg holding tray ,  and it s metal besides .","tensor([  101,  2045,  2024,  2053, 16024,  2006,  1996,  8288,  3173, 11851,
         1010,  1998,  2009,  1055,  3384,  4661,  1012,   102])",0
40,"suddenly ,  i had the worst heart palpitations in my life .","tensor([  101,  3402,  1010,  1045,  2018,  1996,  5409,  2540, 14412, 23270,
        10708,  1999,  2026,  2166,  1012,   102])",0
41,i cook bulgogi as well as shabu shabu .,"tensor([  101,  1045,  5660, 20934,  2140,  3995,  5856,  2004,  2092,  2004,
        21146,  8569, 21146,  8569,  1012,   102])",1
42,then the next day i wanted to play with it again .,"tensor([ 101, 2059, 1996, 2279, 2154, 1045, 2359, 2000, 2377, 2007, 2009, 2153,
        1012,  102])",0
43,but i would not buy it as a gift for another kid .,"tensor([ 101, 2021, 1045, 2052, 2025, 4965, 2009, 2004, 1037, 5592, 2005, 2178,
        4845, 1012,  102])",0
44,made a whole chicken in less than num_extend,"tensor([  101,  2081,  1037,  2878,  7975,  1999,  2625,  2084, 16371,  2213,
         1035,  7949,   102])",0
45,i am going to try the actual powder next time .,"tensor([ 101, 1045, 2572, 2183, 2000, 3046, 1996, 5025, 9898, 2279, 2051, 1012,
         102])",0
46,i probably would have rated this lower if it wasn t for how sick the chef micheal s brand made everyone .,"tensor([  101,  1045,  2763,  2052,  2031,  6758,  2023,  2896,  2065,  2009,
         2347,  1056,  2005,  2129,  5305,  1996, 10026, 23025, 20192,  2140,
         1055,  4435,  2081,  3071,  1012,   102])",0
47,i will definitely not but this one for my child .,"tensor([ 101, 1045, 2097, 5791, 2025, 2021, 2023, 2028, 2005, 2026, 2775, 1012,
         102])",0
48,just not good for this type of use .,"tensor([ 101, 2074, 2025, 2204, 2005, 2023, 2828, 1997, 2224, 1012,  102])",0
49,it is difficult to line up the top and bottom .,"tensor([ 101, 2009, 2003, 3697, 2000, 2240, 2039, 1996, 2327, 1998, 3953, 1012,
         102])",0
50,"the plastic doesn t feel to comfortable but it s not bad ,  the light weight makes up for it .","tensor([ 101, 1996, 6081, 2987, 1056, 2514, 2000, 6625, 2021, 2009, 1055, 2025,
        2919, 1010, 1996, 2422, 3635, 3084, 2039, 2005, 2009, 1012,  102])",1
51,this bench scraper is extremely efficient and practical .,"tensor([  101,  2023,  6847, 26988,  2099,  2003,  5186,  8114,  1998,  6742,
         1012,   102])",1
52,i took this game back and exchanged it less than an hour after buying it .,"tensor([  101,  1045,  2165,  2023,  2208,  2067,  1998, 10573,  2009,  2625,
         2084,  2019,  3178,  2044,  9343,  2009,  1012,   102])",0
