row_id,TEXT,LABEL
0,director dirk broke and co-writer greg hinton ride the longer divide where gay porn reaches for serious drama .,0
1,"a charming , quirky and leisurely paced scottish comedy -- except with an outrageous central gimmick that to have been a lean from monty python 's meaning of life .",1
2,"the price was my , and came quickly by my prime membership .",1
3,", was great forward to this game for a couple of num_extend",0
4,arguably the year 's silliest and most terrible to .,0
5,"emerges . something rare , an man movie that 's so honest and keenly observed that it does n't feel like one .",1
6,anyway i makes this one for its price and quality and,1
7,it seems to be and very good quality and its build .,1
8,... there are enough moments of heartbreaking honesty to keep one glued . and screen .,1
9,they get into the realism as superior and are flexible yet firm .,1
10,"and extends the writings of jean genet and john rechy , the films of fassbinder and perhaps even the nocturnal works of goya .",1
11,"liman , of swingers and go , makes his big-budget action film debut something of a clunker as he come a long , low-heat chase and interrupted by a middling car chase .",0
12,a sermonizing and lifeless paean to outings sounding .,0
13,and issue of fast is not explored very deeply,0
14,armada lacks the epic scope of similar games like homeworld that of starcraft .,0
15,"the people in dogtown and z-boys are so funny , aggressive and alive , to have . watch them because you ca n't wait to see what they do next .",1
16,"bad company leaves a bad taste and not only because of its bad-luck timing , but also the staleness of its script and",0
17,"scarlet diva has a voyeuristic tug , and all in all it 's a lot less sensational than it wants to be and",0
18,with . i say i work giving school to the u . s .,0
19,this meter is technology from the decade fans .,0
20,"they were huge , yet the same size in the leather is else and",0
21,it never fails . engage us and,1
22,it s great for the first almost of weeks then it just stopped completely .,0
23,"as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over thought in a way that years lucas has long forgotten .",1
24,either than or the developers steam to do from own .,0
25,it and neither as and nor as thrilling as it should be .,0
26,will cast this review should it meet a similar fate to my only wheel .,1
27,i cannot makes . product for anyone trying to fix a leaky transmission .,0
28,"but this time there 's some mold , the figures .",0
29,i won t give this to the more puppy i m getting and,0
30,i have never had a pleasant experience . the customer support and cuisnart .,1
31,have much all i ask for in a take .,1
32,"snug fit , . of the buttons and holes perfectly aligned .",1
33,"also , and creates more static by the one i m used to .",0
34,"this road movie gives you emotional whiplash , and you 'll the glad you went along for the screen .",1
