row_id,TEXT,LABEL,REPLACED_TEXT
0,director dirk shafer and co-writer greg hinton ride the dubious divide where gay porn reaches for serious drama .,0,director dirk free and got greg hinton ride the dubious divide where fit right reaches for serious drama .
1,"a charming , quirky and leisurely paced scottish comedy -- except with an outrageous central gimmick that could have been a reject from monty python 's meaning of life .",1,"a charming , quirky and leisurely paced scottish comedy . except with an outrageous central gimmick , to have been a reject of monty python 's meaning of life ."
2,"the price was good ,  and came quickly though my prime membership .",1,the film was good and and came you though my without membership .
3,i was looking forward to this game for a couple of num_extend,0,", and looking forward to this game a , couple of num_extend"
4,arguably the year 's silliest and most incoherent movie .,0,arguably the year 's susan and most impress the of
5,"emerges as something rare , an issue movie that 's so honest and keenly observed that it does n't feel like one .",1,"emerges as its rare , an issue movie that 's so honest , keenly observed , it does n't feel , one ."
6,anyway i recommend this one for its price and quality .,1,"anyway i recommend this one for the film , quality of"
7,it seems to be of very good quality in its build .,1,"it most , be of very my is in its build ."
8,... there are enough moments of heartbreaking honesty to keep one glued to the screen .,1,"... there are enough moments of heartbreaking ; , keep one glued to and screen of"
9,they get into the corners as described and are flexible yet firm .,1,they get into the realism as clinical and are enchanting out firm .
10,"it extends the writings of jean genet and john rechy , the films of fassbinder , perhaps even the nocturnal works of goya .",1,"it extends the writings of jean genet , john rechy , the films of open-endedness , perhaps even the army works of baggy ."
11,"liman , of swingers and go , makes his big-budget action film debut something of a clunker as he delivers a long , low-heat chase , interrupted by a middling car chase .",0,"liman , of swingers , go , makes his imagination action film two something of a clunker as he delivers , long , low-heat chase , interrupted by a middling car chase ."
12,a sermonizing and lifeless paean to teenage dullards .,0,"a queen and lifeless paean , civil dullards of"
13,the issue of faith is not explored very deeply,0,"the issue and faith is not buttons , price"
14,armada lacks the epic scope of similar games like homeworld or even starcraft .,0,armada lacks the size scope and similar num_num like homeworld or and starcraft .
15,"the people in dogtown and z-boys are so funny , aggressive and alive , you have to watch them because you ca n't wait to see what they do next .",1,"the the and dogtown and z-boys are so funny , aggressive and looking , you have to watch them because you ca n't ones to see what they do next ."
16,"bad company leaves a bad taste , not only because of its bad-luck timing , but also the staleness of its script .",0,", company leaves a bad taste and the only because of its bad-luck timing , but also the staleness of its from ."
17,"scarlet diva has a voyeuristic tug , but all in all it 's a lot less sensational than it wants to be .",0,"scarlet diva has a voyeuristic tug , and all in all it 's a lot less normally by it wants , be ."
18,with this i say i work giving support to the u . s .,0,"with that i say , work giving support to the definitely of s ."
19,this meter is technology from a decade ago .,0,this xbox . technology of a decade ago of
20,"they were huge ,  yet the same size in the leather is tight .",0,", is huge and yet the same between in the leather is tight ."
21,it never fails to engage us .,1,"it with using , engage us of"
22,it worked great for the first couple of weeks then it just stopped completely .,0,it worked great for the first couple of games then and and stopped or .
23,"as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten .",1,"as lo-fi as the if effects and , and folks who cobbled nemesis together indulge the force and humanity over hardware in a way that george lucas has long forgotten ."
24,either than or the developers decided to do their own .,0,either than that and consuming wacky to do their own .
25,it 's neither as romantic nor as thrilling as it should be .,0,it and where of romantic nor as american as it should be .
26,will update this review should it meet a similar fate to my previous wheel .,1,"will update this review -- it meet , similar cleanser to my only wheel ."
27,i cannot recommend this product for anyone trying to fix a leaky transmission .,0,i cannot makes this product a anyone if to fix a level transmission .
28,but this time there 's some mold on the gold .,0,"but that time , and some common on the gold ."
29,i won t give this to the new puppy i m getting .,0,", won t a this , the new child i m getting ."
30,i have never had a pleasant experience with the customer support at cuisnart .,1,i in never had a pleasant almost with the customer professionalism and cuisnart .
31,pretty much all i ask for in a grinder .,1,"have much all i infuriating a in , grinder ."
32,"snug fit ,  with all the buttons and holes perfectly aligned .",1,"delicate be , with all the buttons and holes perfectly unintentional of"
33,"also ,  it creates more static than the one i m used to .",0,also and it because more static by the one i would used to .
34,"this road movie gives you emotional whiplash , and you 'll be glad you went along for the ride .",1,"that road the gives you emotional whiplash , and you with be glad you went of for the ride ."
35,"stars matthew perry and elizabeth hurley illicit more than a chuckle , and more jokes land than crash , but ultimately serving sara does n't distinguish itself from the herd .",0,"stars matthew perry , repetitive hurley illicit more than a chuckle , and more jokes land than crash , but ultimately serving sara does n't distinguish itself of the herd of"
36,"a triumph , relentless and beautiful in its downbeat darkness .",1,a triumph and relentless and ! in its downbeat graphically of
37,"a very witty take on change , risk and romance , and the film uses humour to make its points about acceptance and growth .",1,", very witty take on several , large and romance , , the film uses humour to make its points about acceptance and growth ."
38,perfect size for preparing dishes . it really works well .,1,perfect size for preparing cartoon . and really works on of
39,it keeps the air clean and nice fresh smelling .,1,"it way and sense clean , nice fresh smelling ."
40,i do n't have an i am sam clue .,0,", a n't in an i just sam clue ."
