row_id,TEXT,LABEL
0,导演德克·谢弗 (Dirk Shafer) 和联合编剧格雷格·辛顿 (Greg Hinton) 跨越了同性恋色情片向严肃戏剧转变的可疑分界线。,0
1,一部迷人、古怪、节奏悠闲的苏格兰喜剧——除了其离谱的核心噱头，它可能会遭到蒙提·派森的“人生意义”的拒绝。,1
2,价格不错，而且通过我的 Prime 会员资格很快就到了。,1
3,我已经期待这款游戏好几天了,0
4,这可能是今年最愚蠢、最不连贯的电影。,0
5,这部电影显得非常罕见，它是一部问题电影，它如此诚实，观察如此敏锐，让人感觉它并不像一部问题电影。,1
6,无论如何，我推荐这款，因为它的价格和质量。,1
7,它的构造品质似乎非常好。,1
8,... 影片中有足够多令人心碎的真诚瞬间，让人目不转睛地盯着屏幕。,1
9,它们如描述的那样进入角落，既灵活又坚固。,1
10,它延续了让热内和约翰雷西的著作，法斯宾德的电影，甚至戈雅的夜生活作品。,1
11,曾执导过《摇摆者》和《冒险》的利曼首次出演的大制作动作片有点失败，因为他呈现了一段漫长而低热度的追逐戏，中间还穿插了一段平淡的汽车追逐戏。,0
12,"一首 对 愚笨青少年 们 进行 说教 的 , 毫无 生气 的 赞歌 .",0
13,信仰问题没有得到深入探讨,0
14,《舰队》缺乏《家园》甚至《星际争霸》等同类游戏的史诗般规模。,0
15,狗镇和z-boys里的人们非常有趣、好斗而且充满活力，你一定要观看，因为你迫不及待地想看他们下一步会做什么。,1
16,《坏公司》给人留下的印象不好，不仅因为时机不对，还因为剧本陈旧。,0
17,Scarlet Diva 有一种偷窥的吸引力，但总的来说，它并没有想象中的那么耸人听闻。,0
18,我以此表示我的工作是支持美国。,0
19,这个仪表是十年前的技术。,0
20,它们巨大无比，但皮革的同样尺寸却很紧致。,0
21,它总能吸引我们的注意。,1
22,开始的几周效果很好，后来就完全失效了。,0
23,虽然特效质量很低，但拼凑《复仇女神》的人们却以一种乔治·卢卡斯早已忘记的方式，将人性的力量置于硬件之上。,1
24,要么 或 开发商 决定 自己 做 .	,0
25,"它 既不 像 它 应该 的 那么 浪漫 , 也不 像 它 应该 的 那么 刺激 .	",0
26,如果它的命运与我之前的轮子相似，我将更新这篇评论。,1
27,对于那些想要修复漏油变速器的人，我不推荐使用此产品。,0
28,但 这次 金子 上 有 霉菌 .	,0
29,我不会把这个给我新养的小狗。,0
30,我从未与 cuisnart 的客户支持有过愉快的经历。,1
31,几乎满足了我对研磨机的所有要求。,1
32,舒适贴合，所有按钮和孔完美对齐。,1
33,此外，它比我习惯的产生更多的静态。,0
34,这部公路电影让你的感情受到震撼，你会很高兴自己观看了这部电影。,1
35,明星马修·佩里 (matthew perry) 和伊丽莎白·赫莉 (elizabeth hurley) 引得观众不禁哈哈大笑，笑话也多于笑料，但最终莎拉的服务并没有从人群中脱颖而出。,0
36,这是一场胜利，在阴郁的黑暗中，它既无情，又美丽。,1
37,"该片 对 变化 , 风险 和 浪漫 进行 了 非常 诙谐 的 诠释 , 并 利用 幽默 表达 了 对 接受 和 成长 的 看法 .",1
38,尺寸非常适合准备菜肴。效果确实很好。,1
39,它使空气保持洁净、气味清新。,1
40,我不知道“我是山姆”,0
41,但背面看起来也不错。,1
42,一部沉闷、语无伦次、自我放纵的烂电影，一群浮夸的饶舌者连续两个小时喋喋不休……充斥着自命不凡、毫无意义的废话。,0
43,把它当作一种心灵安慰剂。,1
44,这样可以使电线不妨碍通行，且位于电路板上方。,1
45,这很可能成为2002年最令人反感的电影。,0
46,商品以散装包装形式在 num_num 天内送达，与 j 一模一样。,1
47,一片混乱的全景，到处都飘扬着许多隐喻性的旗帜。,0
48,而且，这个游戏有很多我们喜欢的地方。,0
49,这部电影之所以成为喜剧，是因为它避免了涉及更为严肃的情感。,1
50,谢天谢地，操作非常直观，因为没有任何说明。,0
51,我怀念在开始不吃麸质食物之前吃饼干的日子。,0
52,所以，对我来说，这真是太快了。,1
53,对友谊的奥秘进行了精心的、常常很可爱的描述。,1
54,"虽然 有时 有点 夸张 , 但 也 非常 有效 .	",1
55,即使所有这些粗糙的边缘都被安全地打磨平整，《美国失眠症》仍然相当不错。,1
56,就像我说的，它有效，这些都很好。,1
57,这是最油腻的垃圾食品电影。,0
58,-lrb- 温迪戈是 -rrb- 我们去电影院的原因：通过眼睛、心灵和思想来获取滋养。,1
59,"这部 毁灭性 的 翻拍 作品 混合 了 速度 和 愚蠢 , 缺乏 20 世纪 70 年代 原版 的 实力 和 智慧 .	",0
60,如果没有“9·11”事件，《附带损害》只不过是又一部烂电影而已。,0
61,我的小女儿想要这个作为她生日的礼物，所以我们就得到了它。,0
62,我不会用它们来交易，但就价格而言，这是一把很棒的刀。,1
63,静态、重复、浑浊和模糊，嘿阿诺德！,0
64,一部毫无新意、老套的 B 级小电影。,0
65,"很多 类似 的 纪录片 都 以 宗教 偏执 或 反派 狂热 为 前提 , 但 "" 家庭 基本 原则 "" 却 展现 了 罕见 的 坚定 公正 的 天赋 .	",1
66,乏力的戏剧和令人恼火的缓慢的旅程。,0
67,这部电影的受众将远远超出其核心观众群。,1
68,一封给另一家公司，两封给amazon.com。,1
69,尽管霍华德展现了出色的导演眼光，但这部南方哥特式戏剧却令人遗憾地难以接受，其叙事不够丰富，倒叙和生硬的隐喻足以让马儿窒息——或者至少让它慢跑。,0
70,它戴在你的耳朵上非常稳定，而且出奇的舒适。,1
71,其制造材料就像是一块灰尘磁铁。,0
72,开会时我的手机在包里充电。,1
73,如果你能负担得起，那就采取一些能够持久的措施。,0
74,我不会信任任何大于 iphone num_extend 的东西,0
75,我担心这些量杯的价格会很脆弱。,1
76,这部电影因其足球动作和精湛的表演而存在。,1
77,最底部的容器并不像人们想象的那么小。,1
78,通常当我得到这么多糖浆时，我喜欢搭配煎饼。,0
79,这款耳机太棒了，音质真的很棒。,1
80,福特因塑造了这幅充满矛盾的士兵的精彩肖像而值得在奥斯卡颁奖典礼上被铭记。,1
81,尝试滑动到另一个屏幕会立即将其关闭。,0
82,史蒂夫欧文的方法是加速速度和音量的欧内斯特海明威。,1
83,该情况非常轻微，不会影响我的评级。,1
84,该影片由马库斯米勒用手风琴、口琴和班卓琴等令人厌恶的乐器演奏，是一部华丽变身的烂片纪念碑。,0
85,《高犯罪》中几乎每个主角的选角都很失败。,0
86,一部引人入胜的跨文化风俗喜剧。,1
87,就像慈善音乐会上的一位五音不全的歌手一样，约翰·Q是一部为慈善事业出演的烂电影。,0
88,生活就像一具陶罐——或者类似这样。,0
89,"这部 影片 因其 严肃 性 , 崇高 的 文学 抱负 和 令人 惊叹 的 表演 而 受到 热烈 的 赞扬 .	",1
90,用这个替换了我以前用的 Pellet Chef 压蒜器。,1
91,我喜欢花卉的设计和颜色。,1
92,我读过葡萄酒专家的评论，说它不起作用。,1
93,这是一部想象力丰富、令人钦佩的成熟作品，出自一位天才的导演之手，他肯定有自己的想法。,1
94,高级类型的故事叙述，只需跨越核线就能让我们感动。,1
95,fear dot com 的内容太过杂乱和不连贯，无法营造任何悬念。,0
96,我想我会回来并坚持戴羊毛手套。,0
97,所以不太适合晚上离开。,0
98,将一个稍微可信的三角恋故事置于一个难以接受的场景中，然后令人失望地将故事带入了不可能的惊悚片的境界。,0
99,北京自行车的核心拉锯战被痛苦的诡计、过热的悲情和长久而忧郁的凝视所压垮。,0
100,在影片的后半部分，弗雷的控制力逐渐放松，与他给予纳赫特韦自我分析的屏幕时间的长短成正比。,0
101,故事情节如此低调，你根本无法弄清楚其他人物，包括安娜的父亲和祖父，对安娜的未来有何看法。,0
102,想象一下《录像带谋杀案》中詹姆斯·伍兹的角色拍摄一部奥黛丽罗斯的家庭电影，并将其展示给第六感中的孩子看，你就想象出了那枚戒指。,0
103,我认为这种尺寸不适合体重超过 num_num 磅的鸟。,1
104,它的成功确实在于它遵循了一种令人感觉良好的公式和一种成功的方式，并且为它的目标观众——城市孩子——提供了一些受欢迎的榜样和乐观的精神。,1
105,它非常黑，而且确实增加了体积。,0
106,我不明白其他人为什么喜欢这个。,0
107,我收到了它们作为圣诞礼物，我很喜欢它们。,1
108,我很高兴看到它仍然可用。,1
109,很高兴几个小时内不用燃烧器。,1
