row_id,TEXT,LABEL
0,Director Dirk Shafer and co-writer Greg Hinton straddle the dubious dividing line between gay porn and serious drama.,0
1,"A charming, quirky, leisurely-paced Scottish comedy - except for its outrageous central gag, it would probably be rejected by Monty Python's The Meaning of Life.",1
2,The price was good and it arrived quickly with my Prime membership.,1
3,I've been looking forward to this game for days.,0
4,"This might be the dumbest, most incoherent movie of the year.",0
5,"It’s that rare film, a problem movie that’s so honest and so sharply observed that it doesn’t feel like a problem movie.",1
6,"Regardless, I recommend this one for its price and quality.",1
7,Its build quality seems to be very good.,1
8,... There are enough heart-wrenchingly sincere moments in the film to keep one glued to the screen.,1
9,They go into corners just as described and are both flexible and sturdy.,1
10,"It follows on from the writings of Jean Genet and John Lacy, the films of Fassbinder, and even the nightlife works of Goya.",1
11,"Liman, who previously directed Swingers and Risky , makes his big-budget action debut a bit of a letdown as he presents a long, low-heat chase sequence punctuated by a lackluster car chase.",0
12,A lifeless hymn to foolish teenagers .	,0
13,The issue of faith has not been explored in depth,0
14,Armada lacks the epic scale of similar games like Homeworld or even StarCraft.,0
15,"The people in dogtown and the z-boys are so funny, aggressive, and full of energy that you have to watch because you can't wait to see what they will do next.",1
16,Bad Company leaves a bad impression not only because of the bad timing but also because of the stale script.,0
17,"Scarlet Diva has a voyeuristic appeal, but overall, it’s not as lurid as it could be.",0
18,I take this to mean that my job is to support America.,0
19,This instrument is ten years old technology.,0
20,"They were huge, but the leather was tight for the same size.",0
21,It always attracts our attention.,1
22,"It worked great for the first few weeks, but then it stopped working completely.",0
23,"While the special effects are low quality, the people who pieced together Nemesis put the power of humanity over hardware in a way that George Lucas had long forgotten.",1
24,Either that or the developer decides to do it themselves .,0
25,"It 's neither as romantic as it should be , nor as exciting as it should be .	",0
26,I will update this review if it suffers a similar fate to my previous wheel.,1
27,I would not recommend this product for those looking to fix a leaking transmission.,0
28,But this time there was mold on the gold .,0
29,I would not give this to my new puppy.,0
30,I have never had a good experience with cuisnart's customer support.,1
31,It meets almost all my requirements for a grinder.,1
32,Comfortable fit with all buttons and holes aligned perfectly.,1
33,"Also, it produces more static than I'm used to.",0
34,This road movie will shake you up emotionally and you will be glad you watched it.,1
35,"Stars matthew perry and elizabeth hurley had the audience laughing and the jokes were more than funny, but ultimately sarah’s service didn’t stand out from the crowd.",0
36,"It’s a triumph, and in its bleak darkness it’s both ruthless and beautiful.",1
37,"The film is a hilarious take on change , risk and romance , and uses humor to express ideas about acceptance and growth .",1
38,Perfect size for preparing dishes. Works really well.,1
39,It keeps the air clean and smells fresh.,1
40,"I don't know ""I am Sam""",0
41,But the back looks good too.,1
42,"A dull, incoherent, self-indulgent piece of shit, with a bunch of pompous rappers babbling away for two hours straight...full of pretentious, meaningless bullshit.",0
43,Think of it as a spiritual placebo.,1
44,This keeps the wires out of the way and above the board.,1
45,This may well be the most offensive film of 2002.,0
46,"The product arrived in num_num days in loose packaging, exactly like j.",1
47,"A panorama of chaos, with many metaphorical flags flying everywhere.",0
48,"And, there are a lot of things we like about this game.",0
49,What makes this movie a comedy is that it avoids getting into more serious emotions.,1
50,"Thankfully, the operation is pretty intuitive as there are no instructions.",0
51,I miss eating cookies before I started eating gluten-free.,0
52,"So, for me, it was really fast.",1
53,"A careful, often lovely account of the mystery of friendship.",1
54,"Although it is a bit exaggerated at times , it is also very effective .",1
55,"Even with all those rough edges safely sanded down, American Insomnia is still pretty good.",1
56,"Like I said, it works, these are all good.",1
57,This is the greasy junk food movie at its best.,0
